,Track Name,Artist,URL,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,Bad and Boujee (feat. Lil Uzi Vert),Migos,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,4Km5HrUvYTaSUfiSGPJeQR,0.061,0.927,343150,0.665,0.0,11,0.123,-5.313,1,0.244,127.076,4,0.175
1,Fake Love,Drake,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,343YBumqHu19cGoGARUTsd,0.108,0.927,210937,0.488,0.0,9,0.196,-9.433,0,0.42,133.987,4,0.605
2,Starboy,The Weeknd,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,5aAx2yezTd8zXrkmtKl66Z,0.165,0.681,230453,0.594,3.49e-06,7,0.134,-7.028,1,0.282,186.054,4,0.535
3,Closer,The Chainsmokers,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,7BKLCZ1jbUBVqRi2FVlTVw,0.414,0.748,244960,0.524,0.0,8,0.111,-5.599,1,0.0338,95.01,4,0.661
4,Black Beatles,Rae Sremmurd,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,6fujklziTHa8uoM5OQSfIo,0.13,0.794,291893,0.646,0.0,0,0.14,-6.235,1,0.0614,145.931,4,0.322
5,Broccoli (feat. Lil Yachty),DRAM,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol,7yyRTcZmCiyzzJlNzGC9Ol,0.236,0.886,225205,0.525,0.0,8,0.057,-7.39,1,0.131,145.99,4,0.708
6,One Dance,Drake,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,1xznGGDReH1oQq0xzbwXa3,0.00784,0.791,173987,0.619,0.00423,1,0.351,-5.886,1,0.0532,103.989,4,0.371
7,Caroline,Aminé,https://open.spotify.com/track/7FB8l7UA1HKqnuSLjP9qDc,7FB8l7UA1HKqnuSLjP9qDc,0.174,0.952,209640,0.318,0.0,10,0.205,-10.357,1,0.467,120.077,4,0.665
8,Let Me Love You,DJ Snake,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,4pdPtRcBmOSQDlJ3Fk945m,0.0784,0.476,205947,0.718,1.02e-05,8,0.122,-5.309,1,0.0576,199.864,4,0.142
9,Bounce Back,Big Sean,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF,0SGkqnVQo9KPytSri1H6cF,0.105,0.77,222360,0.567,0.0,2,0.125,-5.698,1,0.175,81.477,4,0.26
